月份,AQI,范围,质量等级,PM2.5,PM10,SO2,CO,NO2,O3,,,,,,,,,,
Dec-13,100,23~291,轻度污染,73,97,37,1.73,56,38,,,,,,,,,,
Jan-14,125,26~402,轻度污染,94,123,51,1.948,65,37,,,,,,,,,,
Feb-14,184,33~428,中度污染,148,155,56,2.171,69,42,,,,,,,,,,
Mar-14,130,35~319,轻度污染,94,138,34,1.39,62,83,,,,,,,,,,
Apr-14,127,65~279,轻度污染,89,145,16,0.927,57,129,,,,,,,,,,
May-14,107,46~205,轻度污染,61,118,15,0.839,47,149,,,,,,,,,,
Jun-14,116,50~179,轻度污染,54,74,6,0.79,39,168,,,,,,,,,,
Jul-14,140,39~252,轻度污染,89,100,6,0.939,39,170,,,,,,,,,,
Aug-14,120,46~200,轻度污染,62,88,5,0.839,43,172,,,,,,,,,,
Sep-14,99,43~200,良,65,88,6,0.983,49,106,,,,,,,,,,
Oct-14,154,28~381,中度污染,118,148,9,1.339,70,54,,,,,,,,,,
Nov-14,117,29~342,轻度污染,86,127,16,1.567,65,37,,,,,,,,,,
Dec-14,86,21~267,良,58,95,28,1.552,53,42,,,,,,,,,,
Jan-15,126,28~378,轻度污染,97,120,34,1.91,66,39,,,,,,,,,,
Feb-15,127,36~334,轻度污染,93,114,26,1.457,51,60,,,,,,,,,,
Mar-15,127,40~281,轻度污染,86,146,20,1.194,53,87,,,,,,,,,,
Apr-15,107,38~212,轻度污染,71,118,9,0.76,43,124,,,,,,,,,,
May-15,105,42~203,轻度污染,55,97,8,0.745,37,153,,,,,,,,,,
Jun-15,111,35~231,轻度污染,60,70,6,1.303,35,156,,,,,,,,,,
Jul-15,122,41~200,轻度污染,61,74,4,0.823,35,177,,,,,,,,,,
Aug-15,104,37~202,轻度污染,45,66,3,0.79,31,159,,,,,,,,,,
Sep-15,83,34~201,良,50,59,5,0.837,43,109,,,,,,,,,,
Oct-15,106,27~344,轻度污染,74,86,6,0.955,55,74,,,,,,,,,,
Nov-15,153,37~450,中度污染,119,85,12,1.983,62,25,,,,,,,,,,
Dec-15,187,23~485,中度污染,152,172,20,2.865,76,26,,,,,,,,,,
Jan-16,97,32~316,良,68,88,20,1.584,53,42,,,,,,,,,,
Feb-16,71,34~238,良,44,59,15,0.903,35,68,,,,,,,,,,
Mar-16,132,37~365,轻度污染,93,136,18,1.229,57,79,,,,,,,,,,
Apr-16,106,43~209,轻度污染,69,118,10,0.803,44,116,,,,,,,,,,
May-16,111,49~234,轻度污染,54,90,8,0.665,38,160,,,,,,,,,,
Jun-16,126,50~189,轻度污染,59,70,5,0.767,35,183,,,,,,,,,,
Jul-16,118,40~177,轻度污染,69,74,3,0.916,33,159,,,,,,,,,,
Aug-16,94,34~179,良,47,60,3,0.832,35,135,,,,,,,,,,
Sep-16,86,0~211,良,55,73,3,0.76,43,104,,,,,,,,,,
Oct-16,116,29~292,轻度污染,85,101,4,1.155,56,47,,,,,,,,,,
Nov-16,133,28~315,轻度污染,100,134,11,1.797,68,28,,,,,,,,,,
Dec-16,168,54~431,中度污染,133,159,17,2.51,80,28,,,,,,,,,,
Jan-17,146,34~470,轻度污染,116,131,18,2.203,65,41,,,,,,,,,,
Feb-17,100,36~305,良,71,84,18,1.318,53,65,,,,,,,,,,
Mar-17,94,40~273,良,63,84,11,0.913,50,86,,,,,,,,,,
Apr-17,87,38~174,良,53,104,7,0.693,48,101,,,,,,,,,,
May-17,134,53~500,轻度污染,48,104,7,0.674,37,161,,,,,,,,,,
Jun-17,125,50~200,轻度污染,42,75,6,0.783,38,184,,,,,,,,,,
Jul-17,118,38~208,轻度污染,52,71,3,0.894,34,174,,,,,,,,,,
Aug-17,85,34~162,良,38,56,3,0.803,35,131,,,,,,,,,,
Sep-17,98,36~189,良,58,100,4,0.913,49,123,,,,,,,,,,
Oct-17,84,25~221,良,57,63,3,0.923,46,47,,,,,,,,,,
Nov-17,75,30~201,良,46,73,5,0.903,49,44,,,,,,,,,,
Dec-17,81,23~254,良,44,68,8,1.09,49,25,,,,,,,,,,
Jan-18,64,28~176,良,34,65,7,0.768,39,48,,,,,,,,,,
Feb-18,80,32~218,良,50,72,9,0.786,31,70,,,,,,,,,,
Mar-18,115,0~283,轻度污染,82,104,9,1.003,53,81,,,,,,,,,,
Apr-18,98,36~256,良,59,108,6,0.673,38,115,,,,,,,,,,
May-18,91,0~169,良,45,85,4,0.648,36,134,,,,,,,,,,
Jun-18,111,44~190,轻度污染,43,67,4,0.7,32,168,,,,,,,,,,
Jul-18,89,28~156,良,44,48,3,0.787,24,135,,,,,,,,,,
Aug-18,83,35~152,良,31,46,3,0.745,26,133,,,,,,,,,,
Sep-18,60,30~132,良,28,45,3,0.543,34,93,,,,,,,,,,
Oct-18,74,26~203,良,42,59,4,0.668,45,70,,,,,,,,,,
Nov-18,108,39~270,轻度污染,71,104,7,1.07,60,37,,,,,,,,,,
Dec-18,71,0~232,良,38,73,7,0.835,46,40,,,,,,,,,,
Jan-19,81,30~267,良,51,80,9,0.997,50,44,,,,,,,,,,
Feb-19,80,32~180,良,53,72,6,0.807,35,65,,,,,,,,,,
Mar-19,85,39~233,良,52,80,5,0.635,39,86,,,,,,,,,,
Apr-19,84,39~171,良,48,91,4,0.547,34,103,,,,,,,,,,
May-19,93,47~195,良,37,78,4,0.503,34,143,,,,,,,,,,
Jun-19,121,36~193,轻度污染,39,60,4,0.713,27,179,,,,,,,,,,
Jul-19,108,33~173,轻度污染,37,50,3,0.661,27,159,,,,,,,,,,
Aug-19,72,28~150,良,23,37,3,0.571,26,118,,,,,,,,,,
Sep-19,97,33~178,良,36,58,3,0.67,33,151,,,,,,,,,,
Oct-19,68,23~163,良,40,66,3,0.681,41,42,,,,,,,,,,
Nov-19,66,47~112,良,38,64,3,0.691,46,34,,,,,,,,,,
