,team,attack,defense
0,Toronto Raptors,9,13
1,Milwaukee Bucks,1,10
2,Denver Nuggets,21,11
3,Sacramento Kings,24,25
4,Los Angeles Clippers,4,16
5,Charlotte Hornets,19,26
6,Cleveland Cavaliers,22,23
7,Washington Wizards,7,27
8,Brooklyn Nets,6,20
9,Boston Celtics,12,8
10,Chicago Bulls,23,15
11,Memphis Grizzlies,27,19
12,Phoenix Suns,10,5
13,Los Angeles Lakers,15,1
14,San Antonio Spurs,14,14
15,Golden State Warriors,11,30
16,Miami Heat,18,4
17,Minnesota Timberwolves,20,17
18,Portland Trail Blazers,8,21
19,Detroit Pistons,13,22
20,Philadelphia 76ers,16,7
21,Atlanta Hawks,28,9
22,Oklahoma City Thunder,26,3
23,Houston Rockets,3,28
24,New Orleans Pelicans,5,29
25,Dallas Mavericks,2,18
26,Utah Jazz,25,2
27,New York Knicks,29,24
28,Orlando Magic,30,6
29,Indiana Pacers,17,12
